ID_QUESTAO,LABEL_QUESTAO,ENUNCIADO_QUESTAO,ALTERNATIVA_A,ALTERNATIVA_B,ALTERNATIVA_C,ALTERNATIVA_D,ALTERNATIVA_E
244,0,"Uma escola iniciou o processo educativo para implantação da coleta seletiva e
destino de materiais recicláveis. Para atingir seus objetivos, a instituição planejou:
1) sensibilizar a comunidade escolar, desenvolvendo atividades em sala e extraclasse
de maneira contínua;
2) capacitar o pessoal responsável pela limpeza da escola quanto aos novos
procedimentos adotados com a coleta seletiva; e
3) distribuir coletores de materiais recicláveis específicos nas salas, pátio e outros
ambientes para acondicionamento dos resíduos.
Para completar a ação proposta no ambiente escolar, o que falta ser inserido no
planejamento?","Realizar campanhas educativas de sensibilização em bairros vizinhos para
fortalecer a coleta seletiva.","Firmar parceria com a prefeitura ou cooperativa de catadores para recolhimento
dos materiais recicláveis e destinação apropriada.","Organizar visitas ao lixão ou aterro local para identificar aspectos importantes
sobre a disposição final do lixo.","Divulgar na rádio local, no jornal impresso e nas redes sociais que a escola está
realizando a coleta seletiva.","Colocar recipientes coletores de lixo reciclável fora da escola para entrega
voluntária pela população.
"
245,0,"Os búfalos são animais considerados rústicos pelos criadores e, por isso, são
deixados no campo sem controle reprodutivo. Por causa desse tipo de criação, a
consanguinidade é favorecida, proporcionando o aparecimento de enfermidades, como o
albinismo, defeitos cardíacos, entre outros. Separar os animais de forma adequada
minimizaria a ocorrência desses problemas.
DAMÉ, M. C. F.; RIET-CORREA, F.; SCHILD, A. L. Pesq. Vet. Bras, n. 7, 2013 (adaptado).
Qual procedimento biotecnológico prévio é recomendado nessa situação?",Transgenia.,Terapia gênica.,Vacina de DNA.,Clonagem terapêutica.,"Mapeamento genético.
"
246,0,"O ciclo do cobre é um experimento didático em que o cobre metálico é utilizado como
reagente de partida. Após uma sequência de reações (I, II, III, IV e V), o cobre retorna ao
seu estado inicial ao final do ciclo. 
A reação de redução do cobre ocorre na etapa",I.,II.,III.,IV.,"V.
"
247,0,"Um dos exames clínicos mais tradicionais para medir a capacidade reflexa dos
indivíduos é o exame do reflexo patelar. Esse exame consiste na estimulação da patela,
um pequeno osso localizado na parte anterior da articulação do joelho, com um pequeno
martelo. A resposta reflexa ao estímulo é caracterizada pelo levantamento da perna em
que o estímulo foi aplicado.
Qual região específica do sistema nervoso coordena essa resposta?",Ponte.,Medula.,Cerebelo.,Hipotálamo.,"Neuro-hipófise.
"
248,0,"Na montagem de uma cozinha para um restaurante, a escolha do material correto
para as panelas é importante, pois a panela que conduz mais calor é capaz de cozinhar
os alimentos mais rapidamente e, com isso, há economia de gás. A taxa de condução do
calor depende da condutividade k do material, de sua área A, da diferença de temperatura
ΔT e da espessura d do material, sendo dada pela relação 
. Em panelas
com dois materiais, a taxa de condução é dada por 
, em que d  e d  são
as espessuras dos dois materiais, e k  e k  são as condutividades de cada material. Os
materiais mais comuns no mercado para panelas são o alumínio (k = 20 W/m K), o ferro
(k = 8 W/m K) e o aço (k = 5 W/m K) combinado com o cobre (k = 40 W/m K).
Compara-se uma panela de ferro, uma de alumínio e uma composta de 
 da
espessura em cobre e  da espessura em aço, todas com a mesma espessura total e
com a mesma área de fundo. 
A ordem crescente da mais econômica para a menos econômica é
1
2
1
2","cobre-aço, alumínio e ferro.","alumínio, cobre-aço e ferro.","cobre-aço, ferro e alumínio.","alumínio, ferro e cobre-aço.","ferro, alumínio e cobre-aço.
"
249,0,"As águas subterrâneas têm sido contaminadas pelo uso de pesticidas na agricultura.
Entre as várias substâncias usualmente encontradas, algumas são apresentadas na
figura. A distinção dessas substâncias pode ser feita por meio de uma análise química
qualitativa, ou seja, determinando sua presença mediante a adição de um reagente
específico. O hidróxido de sódio é capaz de identificar a presença de um desses
pesticidas pela reação ácido-base de Brönsted-Lowry.
O teste positivo será observado com o pesticida",I.,II.,III.,IV.,"V.
"
250,0,"Com o aumento da população de suínos no Brasil, torna-se necessária a adoção de
métodos para reduzir o potencial poluidor dos resíduos dessa agroindústria, uma vez que,
comparativamente ao esgoto doméstico, os dejetos suínos são 200 vezes mais poluentes.
Sendo assim, a utilização desses resíduos como matéria-prima na obtenção de
combustíveis é uma alternativa que permite diversificar a matriz energética nacional, ao
mesmo tempo em que parte dos recursos hídricos do país são preservados.
BECK, A. M. Resíduos suínos como alternativa energética sustentável. XXVII Encontro Nacional de Engenharia de
Produção. Anais ENEGEP, Foz do Iguaçu, 2007 (adaptado).
O biocombustível a que se refere o texto é o",etanol.,biogás.,butano.,metanol.,"biodiesel.
"
251,0,"A curcumina, uma das substâncias que confere a cor alaranjada ao açafrão, pode
auxiliar no combate à dengue quando adicionada à água de criadouros do mosquito
transmissor. Essa substância acumula-se no intestino do inseto após ser ingerida com a
água do criadouro e, quando ativada pela luz, induz a produção de espécies reativas de
oxigênio que danificam de forma fatal o tecido do tubo digestório.
TOLEDO, K. Corante extraído do açafrão pode ser útil no combate à dengue. Disponível em:
http://agencia.fapesp.br. Acesso em: 25 abr. 2015 (adaptado).
A forma de combate relatada tem como atividade o(a)",morte do indivíduo adulto.,redução da eclosão dos ovos.,comprometimento da metamorfose.,impedimento do desenvolvimento da larva.,"repelência da forma transmissora da doença.
"
252,0,"Com o objetivo de identificar a melhor espécie produtora de madeira para construção
(com resistência mecânica e à degradação), foram analisadas as estruturas anatômicas
de cinco espécies, conforme o quadro.
Qual espécie corresponde ao objetivo proposto?",1,2,3,4,"5
"
253,0,"No outono, as folhas das árvores mudam de cor, de verde para tons de amarelo,
castanho, laranja e vermelho. A cor verde das folhas deve-se ao pigmento clorofila. Nas
plantas de folhas caducas, a produção de clorofila diminui e o tom verde desvanece,
permitindo 
assim 
que 
outros 
pigmentos, 
como 
o 
caroteno, 
de 
coloração
amarelo-alaranjado, e a antocianina, de tons avermelhados, passem a dominar a
tonalidade das folhas. A coloração observada se dá em função da interação desses
pigmentos com a radiação solar.
Conforme apresentado no espectro de absorção, as moléculas de clorofila absorvem
a radiação solar nas regiões do azul e do vermelho, assim a luz refletida pelas folhas tem
falta desses dois tons e as vemos na cor verde. Já as antocianinas absorvem a luz desde
o azul até o verde. Nesse caso, a luz refletida pelas folhas que contêm antocianinas
aparece conforme as cores complementares, ou seja, vermelho-alaranjado.
Disponível em: https://vidauniversoydemas.wordpress.com. Acesso em: 6 dez. 2017 (adaptado).
Em qual faixa do espectro visível os carotenos absorvem majoritariamente?",Entre o violeta e o azul.,Entre o azul e o verde.,Entre o verde e o amarelo.,Entre o amarelo e o laranja.,"Entre o laranja e o vermelho.
"
254,0,"Entre 2014 e 2016, as regiões central e oeste da África sofreram uma grave epidemia
de febre hemorrágica causada pelo vírus ebola, que se manifesta em até 21 dias após a
infecção e cuja taxa de letalidade (enfermos que vão a óbito) pode chegar a 90%. Em
regiões de clima tropical e subtropical, um outro vírus também pode causar febre
hemorrágica: o vírus da dengue, que, embora tenha período de incubação menor (até
10 dias), apresenta taxa de letalidade abaixo de 1%.
Disponível em: www.who.int. Acesso em: 1 fev. 2017 (adaptado).
Segundo as informações do texto e aplicando princípios de evolução biológica às
relações do tipo patógeno-hospedeiro, qual dos dois vírus infecta seres humanos há mais
tempo?","Ebola, pois o maior período de incubação reflete duração mais longa do processo
de coevolução patógeno-hospedeiro.","Dengue, pois o menor período de incubação reflete duração mais longa do
processo de coevolução patógeno-hospedeiro.","Ebola, cuja alta letalidade indica maior eficiência do vírus em parasitar seus
hospedeiros, estabelecida ao longo de sua evolução.","Ebola, 
cujos 
surtos 
epidêmicos 
concentram-se 
no 
continente 
africano,
reconhecido como berço da origem evolutiva dos seres humanos.","Dengue, cuja baixa letalidade indica maior eficiência do vírus em parasitar seus
hospedeiros, estabelecida ao longo da coevolução patógeno-hospedeiro.
"
255,0,"A imagem apresenta as etapas do funcionamento de uma estação individual para
tratamento do esgoto residencial.
 
TAVARES, K. Estações de tratamento de esgoto individuais permitem a reutilização da água. Disponível em:
https://extra.globo.com. Acesso em: 18 nov. 2014 (adaptado).
Em qual etapa decanta-se o lodo a ser separado do esgoto residencial?",1,2,3,5,"6
"
256,0,"O plantio por estaquia é um método de propagação de plantas no qual partes de um
espécime são colocadas no solo para produzir novas gerações. Na floricultura, é comum
utilizar o caule das roseiras para estaquia, pois a propagação da planta é positiva em
razão da aplicação de auxinas na porção inferior do caule.
A utilização de auxinas no método de estaquia das roseiras contribui para",floração da planta.,produção de gemas laterais.,formação de folhas maiores.,formação de raízes adventícias.,"produção de compostos energéticos.
"
257,0,"O emprego de células de combustível a hidrogênio pode ser uma tecnologia
adequada ao transporte automotivo. O quadro apresenta características de cinco
tecnologias mais proeminentes de células de combustível.
Testes operacionais com esses tipos de células têm indicado que as melhores
alternativas para veículos são as que operam em baixos níveis de energia térmica, são
formadas por membranas de eletrólitos poliméricos e ocorrem em meio ácido.
THOMAS, S; ZALBOWITZ, M. Full cells: green power. Los Alamos National Laboratory. 
Los Alamos, NM, 1999 (adaptado).
A tecnologia testada mais adequada para o emprego em veículos automotivos é a célula
de combustível",AFC.,MSFC.,PEM.,PAFC.,"SOFC.
"
258,0,"Considere a tirinha, na situação em que a temperatura do ambiente é inferior à
temperatura corporal dos personagens.
WATTERSON, B. Disponível em: https://novaescola.org.br. Acesso em: 11 ago. 2014.
O incômodo mencionado pelo personagem da tirinha deve-se ao fato de que, em dias
úmidos,",a temperatura do vapor-d’água presente no ar é alta.,o suor apresenta maior dificuldade para evaporar do corpo.,a taxa de absorção de radiação pelo corpo torna-se maior.,o ar torna-se mau condutor e dificulta o processo de liberação de calor.,"o vapor-d’água presente no ar condensa-se ao entrar em contato com a pele.
"
259,0,"Um garoto precisa montar um circuito que acenda três lâmpadas de cores diferentes,
uma de cada vez. Ele dispõe das lâmpadas, de fios, uma bateria e dois interruptores,
como ilustrado, junto com seu símbolo de três pontos. Quando esse interruptor fecha AB,
abre BC e vice-versa.
O garoto fez cinco circuitos elétricos usando os dois interruptores, mas apenas um
satisfaz a sua necessidade.
Esse circuito é representado por",B,C,D,"E
",
260,0,"Estudo aponta que a extinção de preguiças-gigantes, cuja base da dieta eram frutos
e sementes, provocou impactos consideráveis na vegetação do Pantanal brasileiro.
A flora, embora não tenha desaparecido, tornou-se menos abundante que no passado,
além de ocupar áreas mais restritas.
BICUDO, F. Jardineiros da pesada. Ecologia. Pesquisa Fapesp, ed. 231, maio 2015 (adaptado).
O evento descrito com a flora ocorreu em razão da redução",da produção de flores.,do tamanho das plantas.,de fatores de disseminação das sementes.,da quantidade de sementes por fruto.,"dos hábitats disponíveis para as plantas.
"
261,0,"Carros elétricos estão cada vez mais baratos, no entanto, os órgãos governamentais
e a indústria se preocupam com o tempo de recarga das baterias, que é muito mais lento
quando comparado ao tempo gasto para encher o tanque de combustível. Portanto, os
usuários de transporte individual precisam se conscientizar dos ganhos ambientais dessa
mudança e planejar com antecedência seus percursos, pensando em pausas necessárias
para recargas.
Após realizar um percurso de 110 km, um motorista pretende recarregar as baterias
de seu carro elétrico, que tem um desempenho médio de 5,0 km/kWh, usando um
carregador ideal que opera a uma tensão de 220 V e é percorrido por uma corrente de
20 A.
Quantas horas são necessárias para recarregar a energia utilizada nesse percurso?","0,005","0,125","2,5","5,0","8,0
"
262,0,"Nas angiospermas, além da fertilização da oosfera, existe uma segunda fertilização
que resulta num tecido triploide.
Essa segunda fertilização foi importante evolutivamente, pois viabilizou a formação de um
tecido de",nutrição para o fruto.,reserva para o embrião.,revestimento para a semente.,proteção para o megagametófito.,"vascularização para a planta jovem.
"
263,0,"Com o objetivo de proporcionar aroma e sabor a diversos alimentos, a indústria
alimentícia se utiliza de flavorizantes. Em geral, essas substâncias são ésteres, como as
apresentadas no quadro.
O aroma do flavorizante derivado do ácido etanoico e que apresenta cadeia carbônica
saturada é de",kiwi.,banana.,pêssego.,rum.,"uva.
"
264,0,"O eletrocardiograma é um exame cardíaco que mede a intensidade dos sinais
elétricos advindos do coração. A imagem apresenta o resultado típico obtido em um
paciente saudável e a intensidade do sinal (V
) em função do tempo.
De acordo com o eletrocardiograma apresentado, qual foi o número de batimentos
cardíacos por minuto desse paciente durante o exame?
EC",30,60,"A
30",120 ,"180
"
265,0,"A deficiência de lipase ácida lisossômica é uma doença hereditária associada a um
gene do cromossomo 10. Os pais dos pacientes podem não saber que são portadores
dos genes da doença até o nascimento do primeiro filho afetado. Quando ambos os
progenitores são portadores, existe uma chance, em quatro, de que seu bebê possa
nascer com essa doença.
ANDERSON, R. A. et. al. In: Situ Localization of the Genetic Locus Encoding the Lysosomal 
Acid Lipase/Cholesteryl Esterase (LIPA) Deficient in Wolman Disease to 
Chromosome 10q23.2-q23.3. Genomics, n. 1, jan. 1993 (adaptado).
Essa é uma doença hereditária de caráter",recessivo.,dominante.,codominante.,poligênico.,"polialélico.
"
266,0,"O quadro lista alguns dispositivos eletrônicos que estão presentes no dia a dia, bem
como a faixa de força eletromotriz necessária ao seu funcionamento.
 
Considere que uma bateria é construída pela associação em série de três pilhas de
lítio-iodo, nas condições-padrão, conforme as semiequações de redução apresentadas.
Essa bateria é adequada para o funcionamento de qual dispositivo eletrônico?",I,II,III,IV,"V
"
267,0,"O alcoolômetro Gay Lussac é um instrumento destinado a medir o teor de álcool, em
porcentagem de volume (v/v), de soluções de água e álcool na faixa de 0 °GL a 100 °GL,
com divisões de 0,1 °GL. A concepção do alcoolômetro se baseia no princípio de
flutuabilidade de Arquimedes, semelhante ao funcionamento de um densímetro. A escala
do instrumento é aferida a 20 °C, sendo necessária a correção da medida, caso a
temperatura da solução não esteja na temperatura de aferição. É apresentada parte da
tabela de correção de um alcoolômetro, com a temperatura.
Manual alcoolômetro Gay Lussac. Disponível em: www.incoterm.com.br. 
Acesso em: 4 dez. 2018 (adaptado).
É necessária a correção da medida do instrumento, pois um aumento na temperatura
promove o(a)",aumento da dissociação da água.,aumento da densidade da água e do álcool.,mudança do volume dos materiais por dilatação.,aumento da concentração de álcool durante a medida.,"alteração das propriedades químicas da mistura álcool e água.
"
268,0,"O Prêmio Nobel de Química de 2000 deveu-se à descoberta e ao desenvolvimento
de polímeros condutores. Esses materiais têm ampla aplicação em novos dispositivos
eletroluminescentes (LEDs), células fotovoltaicas etc. Uma propriedade-chave de um
polímero condutor é a presença de ligações duplas conjugadas ao longo da cadeia
principal do polímero.
ROCHA FILHO, R. C. Polímeros condutores: descoberta e aplicações. 
Química Nova na Escola, n. 12, 2000 (adaptado).
Um exemplo desse polímero é representado pela estrutura",B,C,D,"E
Matemática e suas Tecnologias
","Matemática e suas Tecnologias
"
269,0,"As my official bio reads, I was made in Cuba, assembled in Spain, and imported to the
United States — meaning my mother, seven months pregnant, and the rest of my family
arrived as exiles from Cuba to Madrid, where I was born. Less than two months later, we
emigrated once more and settled in New York City, then eventually in Miami, where I was
raised and educated. Although technically we lived in the United States, the Cuban
community was culturally insular in Miami during the 1970s, bonded together by the
trauma of exile. What's more, it seemed that practically everyone was Cuban: my
teachers, my classmates, the mechanic, the bus driver. I didn't grow up feeling different or
treated as a minority. The few kids who got picked on in my grade school were the ones
with freckles and funny last names like Dawson and O'Neil.
BLANCO, R. Disponível em: http://edition.cnn.com. Acesso em: 9 dez. 2017 (adaptado).
Ao relatar suas vivências, o autor destaca o(a)",qualidade da educação formal em Miami.,prestígio da cultura cubana nos Estados Unidos.,oportunidade de qualificação profissional em Miami.,cenário da integração de cubanos nos Estados Unidos.,"fortalecimento do elo familiar em comunidades estadunidenses.
/
"
270,0,"Two hundred years ago, Jane Austen lived in a world where single men boasted vast
estates; single ladies were expected to speak several languages, sing and play the piano.
In both cases, it was, of course, advantageous if you looked good too. So, how much has
— or hasn’t — changed? Dating apps opaquely outline the demands of today’s
relationship market; users ruminate long and hard over their choice of pictures and what
they write in their biographies to hook in potential lovers, and that’s just your own profile.
What do you look for in a future partner’s profile — potential signifiers of a popular
personality, a good job, a nice car? These apps are a poignant reminder of the often
classist attitudes we still adopt, as well as the financial and aesthetic expectations we
demand from potential partners.
GALER, S. Disponível em: www.bbc.com. Acesso em: 8 dez. 2017 (adaptado).
O texto aborda relações interpessoais com o objetivo de",problematizar o papel de gênero em casamentos modernos.,apontar a relevância da educação formal na escolha de parceiros.,comparar a expectativa de parceiros amorosos em épocas distintas.,discutir o uso de aplicativos para proporcionar encontros românticos.,"valorizar a importância da aparência física na seleção de pretendentes.
/
"
271,0,"GAULD, T. Disponível em: www.tomgauld.com. Acesso em: 25 out. 2021.
 
/
Nessa tirinha, o comportamento da mulher expressa",revolta com a falta de sorte.,gosto pela prática da leitura.,receio pelo futuro do casamento.,entusiasmo com os livros de terror.,"rejeição ao novo tipo de residência.
/
"
272,0,"A Teen’s View of Social Media
Instagram is made up of all photos and videos. There is the home page that
showcases the posts from people you follow, an explore tab which offers posts from
accounts all over the world, and your own page, with a notification tab to show who likes
and comments on your posts.
It has some downsides though. It is known to make many people feel insecure or
down about themselves because the platform showcases the highlights of everyone’s
lives, while rarely showing the negatives. This can make one feel like their life is not going
as well as others, contributing to the growing rates of anxiety or depression in many teens
today. There is an underlying desire for acceptance through the number of likes or
followers one has.
Disponível em: https://cyberbullying.org. Acesso em: 29 out. 2021.
O termo “downsides” introduz a ideia de que o Instagram é responsável por",oferecer recursos de fotografia.,divulgar problemas dos usuários.,estimular aceitação dos seguidores.,provocar ansiedade nos adolescentes.,"aproximar pessoas ao redor do mundo.
/
"
273,0,"I tend the mobile now 
like an injured bird
We text, text, text 
our significant words.
I re-read your first, 
your second, your third,
Look for your small xx, 
feeling absurd.
The codes we send 
arrive with a broken chord.
I try to picture your hands, 
their image is blurred.
Nothing my thumbs press 
will ever be heard.
DUFFY, C. Disponível em: www.independent.co.uk. Acesso em: 27 out. 2021.
Nesse poema, o eu lírico evidencia um sentimento de",contentamento com a interação virtual.,zelo com o envio de mensagens.,preocupação com a composição de textos.,mágoa com o comportamento de alguém.,"insatisfação com uma forma de comunicação.
/
"
274,0,"Urgência emocional
Se tudo é para ontem, se a vida engata uma primeira e sai em disparada, se não há
mais tempo para paradas estratégicas, caímos fatalmente no vício de querer que os
amores sejam igualmente resolvidos num átimo de segundo. Temos pressa para ouvir “eu
te amo”. Não vemos a hora de que fiquem estabelecidas as regras de convívio: somos
namorados, ficantes, casados, amantes? Urgência emocional. Uma cilada. Associamos
diversas palavras ao AMOR: paixão, romance, sexo, adrenalina, palpitação. Esquecemos,
no entanto, da palavra que viabiliza esse sentimento: “paciência”. Amor sem paciência
não vinga. Amor não pode ser mastigado e engolido com emergência, com fome
desesperada. É uma refeição que pode durar uma vida.
MEDEIROS, M. Disponível em: http://porumavidasimples.blogspot.com.br. Acesso em: 20 ago. 2017 (adaptado).
Nesse texto de opinião, as marcas linguísticas revelam uma situação distensa e de pouca
formalidade, o que se evidencia pelo(a)","impessoalização ao longo do texto, como em: “se não há mais tempo”.","construção de uma atmosfera de urgência, em palavras como: “pressa”.","repetição de uma determinada estrutura sintática, como em: “Se tudo é para
ontem”.","ênfase no emprego da hipérbole, como em: “uma refeição que pode durar uma
vida”.","emprego de metáforas, como em: “a vida engata uma primeira e sai em
disparada”.
/
"
275,0,"TEXTO I
Disponível em: https://amigodobicho.wordpress.com. Acesso em: 10 dez. 2017.
TEXTO II
Nas ruas, na cidade e no parque
Ninguém nunca prendeu o Delegado. O vaivém de rua em rua e sua longa vida são
relembrados e recontados. Exemplo de sobrevivência, liderança, inteligência canina,
desde pequenininho seu focinho negro e seus olhos delineados desenharam um mapa
mental olfativo-visual de Lavras. Corria de quem precisava correr e se aproximava de
quem não lhe faria mal, distinguia este daquele. Assim, tornou-se um cão comunitário.
Nunca se soube por que escolheu a rua, talvez lhe tenham feito mal dentro de quatro
paredes. Idoso, teve câncer e desapareceu. O querido foi procurado pela cidade inteira
por duas protetoras, mas nunca encontrado.
COSTA, A. R. N. Viver o amor aos cães: Parque Francisco de Assis. Carmo do Cachoeira: Irdin, 2014 (adaptado).
Os dois textos abordam a temática de animais de rua, porém, em relação ao Texto I, o
Texto II",problematiza a necessidade de adoção de animais sem lar.,valida a troca afetiva entre os pets adotados e seus donos.,reforça a importância da campanha de adoção de animais.,exalta a natureza amigável de cães e de gatos.,"promove a campanha de adoção de animais.
/
"
276,0,"É ruivo? Tem olhos azuis? É homem ou mulher? Usa chapéu? Quem jogou Cara a
Cara na infância sabe de cor o roteiro de perguntas para adivinhar quem é o personagem
misterioso do seu oponente.
Agora, o jogo está prestes a ganhar uma nova versão. A designer polonesa Zuzia
Kozerska-Girard está desenvolvendo uma variação do Guess Who? (nome do Cara a
Cara em inglês), em que as personalidades do tabuleiro são, na verdade, mulheres
notáveis da história e da atualidade, como a artista Frida Kahlo, a ativista Malala
Yousafzai, a astronauta Valentina Tereshkova e a aviadora Amelia Earhart. O Who’s She?
(“Quem é ela?”, em português) traz, no total, 28 mulheres que representam diversas
profissões, nacionalidades e idades.
A ideia é que, em vez de perguntar sobre a aparência das personagens, as questões
sejam direcionadas aos feitos delas: ganhou algum Nobel, fez alguma descoberta? Para
cada personagem há um cartão com fatos divertidos e interessantes sobre sua vida. Uma
campanha entrou no ar com o objetivo de arrecadar dinheiro para desenvolver o Who’s
She?. A meta inicial era reunir 17 mil dólares. Oito dias antes de a campanha acabar, o
projeto já angariou quase 350 mil dólares.
A chegada do jogo à casa do comprador varia de acordo com a quantia doada —
quanto mais você doou, mais rápido vai poder jogar.
Disponível em: www.super.abril.com.br. Acesso em: 4 dez. 2018 (adaptado).
Ao divulgar a adaptação do jogo para questões relativas a ações e habilidades de
mulheres notáveis, o texto busca",contribuir para a formação cidadã dos jogadores.,refutar modelos estereotipados de beleza e elegância.,estimular a competitividade entre potenciais compradores.,exemplificar estratégias de arrecadação financeira pela internet.,"desenvolver conhecimentos lúdicos específicos dos tempos atuais.
/
"
277,0,"Disponível em: www.portaldapropaganda.com.br. Acesso em: 29 out. 2013 (adaptado).
Para convencer o público-alvo sobre a necessidade de um trânsito mais seguro, essa
peça publicitária apela para o(a)",sentimento de culpa provocado no condutor causador de acidentes.,dano psicológico causado nas vítimas da violência nas estradas.,importância do monitoramento do trânsito pelas autoridades competentes.,necessidade de punição a motoristas alcoolizados envolvidos em acidentes.,"sofrimento decorrente da perda de entes queridos em acidentes automobilísticos.
/
"
278,0,"Ciente de que, no campo da criação, as inovações tecnológicas abrem amplo leque
de possibilidades — ao permitir, e mesmo estimular, que o artista explore a fundo, em seu
processo criativo, questões como a aleatoriedade, o acaso, a não linearidade e a
hipermídia —, Leo Cunha comenta que, no que tange ao campo da divulgação, as
alternativas são ainda mais evidentes: “Afinal, é imensa a capacidade de reprodução,
multiplicação e compartilhamento das obras artísticas/culturais. Ao mesmo tempo,
ganham dimensão os dilemas envolvidos com a questão da autoria, dos direitos autorais,
da reprodução e intervenção não autorizadas, entre outras questões”. Já segundo a
professora Yacy-Ara Froner, o uso de ferramentas tecnológicas não pode ser visto como
um fim em si mesmo. Isso porque computadores, samplers, programas de imersão,
internet e intranet, vídeo, televisão, rádio, GPD etc. são apenas suportes com os quais os
artistas exercem sua imaginação.
SILVA JR., M. G. Movidas pela dúvida. Minas faz Ciências, n. 52, dez.-fev. 2013 (adaptado).
Segundo os autores citados no texto, a expansão de possibilidades no campo das
manifestações artísticas promovida pela internet pode pôr em risco o(a)",sucesso dos artistas.,valorização dos suportes.,proteção da produção estética.,modo de distribuição de obras.,"compartilhamento das obras artísticas.
/
"
279,0,"Ora, sempre que surge uma nova técnica, ela quer demonstrar que revogará as
regras e coerções que presidiram o nascimento de todas as outras invenções do
passado. Ela se pretende orgulhosa e única. Como se a nova técnica carreasse com ela,
automaticamente, para seus novos usuários, uma propensão natural a fazer economia de
qualquer aprendizagem. Como se ela se preparasse para varrer tudo que a precedeu, ao
mesmo tempo transformando em analfabetos todos os que ousassem repeli-la.
Fui testemunha dessa mudança ao longo de toda a minha vida. Ao passo que, na
realidade, é o contrário que acontece. Cada nova técnica exige uma longa iniciação numa
nova linguagem, ainda mais longa na medida em que nosso espírito é formatado pela
utilização das linguagens que precederam o nascimento da recém-chegada.
ECO, U.; CARRIÈRE, J.-C. Não contem com o fim do livro. Rio de Janeiro: Record, 2010 (adaptado).
O texto revela que, quando a sociedade promove o desenvolvimento de uma nova
técnica, o que mais impacta seus usuários é a",dificuldade na apropriação da nova linguagem.,valorização da utilização da nova tecnologia.,recorrência das mudanças tecnológicas.,suplantação imediata dos conhecimentos prévios.,"rapidez no aprendizado do manuseio das novas invenções.
/
"
280,0,"Papos
— Me disseram...
— Disseram-me.
— Hein?
— O correto é “disseram-me”. Não “me disseram”.
— Eu falo como quero. E te digo mais... Ou é “digo-te”?
— O quê?
— Digo-te que você...
— O “te” e o “você” não combinam.
— Lhe digo?
— Também não. O que você ia me dizer?
— Que você está sendo grosseiro, pedante e chato. [...]
— Dispenso as suas correções. Vê se esquece-me. Falo como bem entender. Mais
uma correção e eu...
— O quê?
— O mato.
— Que mato?
— Mato-o. Mato-lhe. Mato você. Matar-lhe-ei-te. Ouviu bem? Pois esqueça-o e
para-te. Pronome no lugar certo é elitismo!
— Se você prefere falar errado...
— Falo como todo mundo fala. O importante é me entenderem. Ou entenderem-me?
VERISSIMO, L. F. Comédias para se ler na escola. Rio de Janeiro: Objetiva, 2001 (adaptado).
Nesse texto, o uso da norma-padrão defendido por um dos personagens torna-se
inadequado em razão do(a)",falta de compreensão causada pelo choque entre gerações.,contexto de comunicação em que a conversa se dá.,grau de polidez distinto entre os interlocutores.,diferença de escolaridade entre os falantes.,"nível social dos participantes da situação.
/
"
281,0,"São vários os fatores, internos e externos, que influenciam os hábitos das pessoas
no acesso à internet, assim como nas práticas culturais realizadas na rede. A utilização
das tecnologias de informação e comunicação está diretamente relacionada aos aspectos
como: conhecimento de seu uso, acesso à linguagem letrada, nível de instrução,
escolaridade, letramento digital etc. Os que detêm tais recursos (os mais escolarizados)
são os que mais acessam a rede e também os que possuem maior índice de
acumulatividade das práticas. A análise dos dados nos possibilita dizer que a falta de
acesso à rede repete as mesmas adversidades e exclusões já verificadas na sociedade
brasileira no que se refere a analfabetos, menos escolarizados, negros, população
indígena e desempregados. Isso significa dizer que a internet, se não produz diretamente
a exclusão, certamente a reproduz, tendo em vista que os que mais a acessam são
justamente os mais jovens, escolarizados, remunerados, trabalhadores qualificados,
homens e brancos.
SILVA, F. A. B.; ZIVIANE, P.; GHEZZI, D. R. As tecnologias digitais e seus usos. Brasília; Rio de Janeiro: Ipea,
2019 (adaptado).
Ao analisarem a correlação entre os hábitos e o perfil socioeconômico dos usuários da
internet no Brasil, os pesquisadores",apontam o desenvolvimento econômico como solução para ampliar o uso da rede.,questionam a crença de que o acesso à informação é igualitário e democrático.,afirmam que o uso comercial da rede é a causa da exclusão de minorias.,refutam o vínculo entre níveis de escolaridade e dificuldade de acesso.,"condicionam a expansão da rede à elaboração de políticas inclusivas.
/
"
